word,core_level,advanced_level
acme,c1,c1
acne,a2,a2
acolyte,c1,c1
aconite,c1,c1
acorn,a1,a1
acoustic,b1,b1
acoustical,b1,b1
acoustically,b1,b1
acoustician,c1,c1
acquaint,b1,b1
acquaintance,a2,a2
acquaintanceship,b2,b2
acquiesce,c1,c1
acquiescence,c1,c1
acquiescent,c1,c1
acquire,a2,b2
acquired,b2,b2
acquirer,b2,b2
acquisition,b2,c1
acquisitive,c1,c1
acquisitiveness,c1,c1
acquit,b2,b2
acquittal,b2,b2
acre,b2,c1
acreage,b2,b2
acrid,c1,c1
acrimonious,c1,c1
acrimony,c1,c1
acrobat,a2,a2
acrobatic,a2,a2
acrobatics,a2,a2
acronym,b1,b1
acropolis,b2,b2
across,a1,a1
acrylic,b2,b2
act,b1,b1
actin,c1,c1
acting,a2,a2
actinic,c1,c1
action,a1,a1
actionable,c1,c1
activate,a2,b2
activated,b2,b2
activating,b2,b2
activation,b2,c1
activator,b2,b2
active,a2,a2
actively,b1,b1
activism,b2,b2
activist,b2,c1
activity,a1,a1
actor,a1,a1
actress,a1,a1
actual,a2,b2
actuality,c1,c1
actualization,c1,c1
actualize,c1,c1
actualized,c1,c1
actually,a2,a2
actuarial,c1,c1
actuary,c1,c1
actuate,c1,c1
actuation,c1,c1
actuator,c1,c1
acuity,c1,c1
acumen,c1,c1
acupressure,b2,b2
acupuncture,b2,b2
acupuncturist,b2,b2
acute,b2,c1
acutely,b2,b2
acuteness,c1,c1
acyclovir,c1,c1
ad,b1,b1
adage,b2,b2
adagio,c1,c1
adamant,c1,c1
adamantine,c1,c1
adamantly,c1,c1
adapt,a2,b2
adaptability,b2,b2
adaptable,b2,b2
adaptation,b2,c1
adaptational,c1,c1
adapted,b2,b2
adapter,b1,b1
adaption,b2,b2
adaptive,b2,b2
adaptor,b1,b1
adat,c2,c2
add,a1,a1
added,a2,a2
addendum,b2,b2
adder,a2,a2
addict,b1,b1
addicted,b1,b1
addicting,b1,b1
addiction,a2,b2
addictive,b1,b1
adding,a2,a2
addition,b1,b1
additional,a2,b2
additionally,a2,b2
additive,b2,b2
addle,c1,c1
addled,c1,c1
address,a2,b2
addressable,b2,b2
addressed,b1,b1
addressee,b1,b1
adduce,c1,c1
adduction,c1,c1
adductor,c1,c1
adelgid,c2,c2
adenine,c1,c1
adenocarcinoma,c1,c1
adenoid,c1,c1
adenoidal,c1,c1
adenoidectomy,c1,c1
adenoma,c1,c1
adenopathy,c1,c1
adenosine,c1,c1
adenovirus,c1,c1
adept,b2,b2
adeptly,b2,b2
adeptness,b2,b2
adequacy,b2,b2
adequate,a2,b2
adequately,a2,b2
adhere,b2,c1
adherence,b2,b2
adherent,b2,b2
adhesion,b2,b2
adhesive,b2,b2
adiabatic,c1,c1
adieu,c1,c1
adinkra,c2,c2
adios,a2,a2
adit,c1,c1
adjacency,c1,c1
adjacent,b2,c1
adjectival,c1,c1
adjective,b1,b1
adjoin,b2,b2
adjoining,b2,b2
adjourn,b2,b2
adjournment,b2,b2
adjudge,c1,c1
adjudicate,c1,c1
adjudication,c1,c1
adjudicative,c1,c1
adjudicator,c1,c1
adjunct,c1,c1
adjunctive,c1,c1
adjust,a2,b2
adjustability,b2,b2
adjustable,b2,b2
adjusted,b2,b2
adjuster,b2,b2
adjusting,b2,b2
adjustment,b2,c1
adjustor,b2,b2
adjutant,c1,c1
adjuvant,c1,c1
adman,c1,c1
admin,a2,a2
administer,b2,c1
administered,b2,b2
administering,b2,b2
administrate,b2,b2
administration,b2,b2
administrative,b2,c1
administratively,b2,b2
administrator,b2,c1
admirable,b2,b2
admirably,b2,b2
admiralty,c1,c1
admiration,b1,b1
admire,b1,b1
admired,b1,b1
admirer,b1,b1
admiring,b1,b1
admiringly,b1,b1
admissibility,c1,c1
admissible,b2,b2
admission,b2,c1
admit,b1,b1
admittance,b2,b2
admitted,b1,b1
admittedly,b2,b2
admitting,b2,b2
admixture,b2,b2
admonish,b2,b2
admonishment,c1,c1
admonition,b2,b2
admonitory,c1,c1
ado,b2,b2
adobe,a2,a2
adobo,c1,c1
adolescence,b1,b1
adolescent,b2,c1
adopt,a2,b2
adoptable,b2,b2
adopted,b1,b1
adoptee,b2,b2
adopter,b2,b2
adopting,b2,b2
adoption,b2,c1
adoptive,b2,b2
adorable,a2,a2
adorably,a2,a2
adoration,b2,b2
adore,a2,a2
adored,b1,b1
adoring,b2,b2
adoringly,b2,b2
adorn,b1,b1
adornment,b2,b2
adrenal,b2,b2
adrenaline,a2,a2
adrift,b2,b2
adroit,c1,c1
adroitly,c1,c1
adsorb,c1,c1
adsorbed,c1,c1
adsorption,c1,c1
adulation,c1,c1
adulatory,c1,c1
adult,a2,a2
adulterate,c1,c1
adulterated,c1,c1
adulteration,c1,c1
adulterer,c1,c1
adulteress,c2,c2
adulterous,c1,c1
adultery,c1,c1
adulthood,b1,b1
adumbrate,c2,c2
advance,a2,b2
advanced,a2,b1
advancement,b2,b2
advancer,c1,c1
advancing,b2,b2
advantage,a1,a2
advantaged,b2,b2
advantageous,b2,b2
advantageously,b2,b2
advent,b2,b2
adventist,c1,c1
adventitious,c1,c1
adventure,a1,a2
adventurer,b2,b2
adventuresome,b2,b2
adventuress,c2,c2
adventurism,c1,c1
adventurous,b2,b2
adventurousness,b2,b2
adverb,b2,b2
adverbial,c1,c1
adversarial,c1,c1
adversary,b2,b2
adverse,b2,c1
adversely,b2,b2
adversity,b2,b2
advert,b2,b2
advertise,a2,a2
advertised,b1,b1
advertisement,a2,a2
advertiser,b2,b2
advertising,a2,a2
advice,a1,a1
advisability,b2,b2
advisable,b2,b2
advise,a2,b1
advisedly,c1,c1
advisee,c1,c1
advisement,c1,c1
adviser,b2,b2
advisor,b2,b2
advisory,b2,b2
advocacy,b2,b2
advocate,b2,c1
adze,c1,c1
aegis,c1,c1
aeolian,c2,c2
aeon,c1,c1
aerate,c1,c1
aerated,c1,c1
aeration,c1,c1
aerator,c1,c1
aerial,b2,b2
aerialist,c1,c1
aerie,c1,c1
aerobatic,b2,b2
aerobatics,b2,b2
aerobic,b2,b2
aerobically,b2,b2
aerobics,a2,a2
aerodigestive,c2,c2
aerodrome,c1,c1
aerodynamic,b2,b2
aerodynamically,b2,b2
aerodynamics,b2,b2
aerogel,c1,c1
aeronautical,b2,b2
aeroplane,b1,b1
aerosol,b2,b2
aerosolized,c1,c1
aerospace,b2,b2
aerostat,c1,c1
aesthete,c1,c1
aesthetic,b2,c1
aesthetically,c1,c1
aesthetician,b2,b2
aestheticism,c1,c1
aestheticization,c2,c2
aesthetics,c1,c1
aetiology,c1,c1
afar,b2,b2
afarensis,c2,c2
affability,c1,c1
affable,c1,c1
affably,c1,c1
affair,a2,b2
affaire,c1,c1
affect,a2,a2
affectation,c1,c1
affected,b2,b2
affecting,b2,b2
affection,b2,c1
affectional,c1,c1
affectionate,b1,b1
affectionately,b1,b1
affective,c1,c1
affectively,c1,c1
affectless,c1,c1
afferent,c1,c1
affidavit,c1,c1
affiliate,b2,b2
affiliated,b2,b2
affiliative,c1,c1
affinal,c1,c1
affine,c1,c1
affinity,b2,b2
affirm,b2,b2
affirmation,b2,b2
affirmative,b2,b2
affirmatively,b2,b2
affirming,b2,b2
affix,c1,c1
afflict,b2,b2
afflicted,b2,b2
affliction,b2,b2
affluence,b2,b2
affluent,b2,b2
afford,b1,b1
affordability,b2,b2
affordable,a2,b2
affordably,b2,b2
afforestation,c1,c1
affront,b2,b2
affronted,b2,b2
afghani,b2,b2
aficionado,c1,c1
afield,b2,b2
afire,c1,c1
aflame,c1,c1
aflatoxin,c1,c1
afloat,b2,b2
afoot,b2,b2
afore,c1,c1
aforementioned,b2,b2
aforesaid,c1,c1
aforethought,c1,c1
afraid,a1,a1
afresh,b2,b2
african,a2,a2
africanization,c1,c1
africanized,c1,c1
afrikaaner,c2,c2
afrikaans,c1,c1
afrikaner,c1,c1
afro,a2,a2
afrocentric,c1,c1
aft,c1,c1
after,a2,a2
afterbirth,c1,c1
afterburner,c1,c1
aftercare,b2,b2
aftereffect,b2,b2
afterglow,b2,b2
afterimage,b2,b2
afterlife,b2,b2
aftermarket,b2,b2
aftermath,b2,c1
afternoon,a1,a1
aftershave,a2,a2
aftershock,b2,b2
aftertaste,b2,b2
afterthought,b2,b2
afterward,b1,b1
afterwards,a2,b2
afterword,b2,b2
afterworld,c1,c1
again,a1,a1
against,a2,a2
agape,c1,c1
agar,c1,c1
agarose,c1,c1
agave,c1,c1
age,b1,b1
aged,b1,b1
ageing,b2,b2
ageism,c1,c1
ageless,b2,b2
agency,a2,b2
agenda,a2,b2
agent,b1,b1
agentry,c1,c1
ageratum,c2,c2
aggiornamento,c2,c2
agglomeration,b2,b2
agglutination,c1,c1
aggrandize,c1,c1
aggrandizement,c1,c1
aggravate,b1,b1
aggravated,b1,b1
aggravating,b1,b1
aggravation,b1,b1
aggregate,b2,b2
aggregated,b2,b2
aggregation,b2,b2
aggregative,c1,c1
aggregator,b2,b2
aggress,b2,b2
aggression,b2,c1
aggressive,a2,b2
aggressively,b2,b2
aggressiveness,b2,b2
aggressivity,c1,c1
aggressor,b2,b2
aggrieved,b2,b2
aggro,a2,a2
aghast,b2,b2
agile,b1,b1
agility,b1,b1
aging,a2,a2
agitate,b2,b2
agitated,b2,b2
agitation,b2,b2
agitator,b2,b2
agitprop,c1,c1
aglow,b2,b2
agnate,c2,c2
agnatic,c2,c2
agnostic,b2,b2
agnosticism,b2,b2
ago,a1,a1
agog,c1,c1
agonist,c1,c1
agonistic,c1,c1
agonize,b2,b2
agonized,b2,b2
agonizing,b2,b2
agonizingly,c1,c1
agony,b2,b2
agora,c1,c1
agoraphobia,b2,b2
agoraphobic,b2,b2
agouti,c2,c2
agrarian,b2,b2
agrarianism,c1,c1
agree,a1,a1
agreeable,a2,a2
agreeableness,b2,b2
agreeably,b2,b2
agreed,a1,a1
agreement,b1,b1
agribusiness,b2,b2
agricultural,c1,c1
agriculturalist,c1,c1
agriculture,b2,b2
agriculturist,c1,c1
agrochemical,b2,b2
agroforestry,c1,c1
agronomic,c1,c1
agronomist,c1,c1
agronomy,c1,c1
aground,b1,b1
aguardiente,c2,c2
ague,c1,c1
ah,a2,a2
aha,a1,a1
ahead,b1,b1
ahem,a1,a1
ahh,a1,a1
ahhh,a1,a1
ahhhh,a1,a1
ahistorical,c1,c1
ahold,c2,c2
aid,a2,b2
aide,b2,c1
aided,a2,a2
aids,a2,b2
aikido,b2,b2
ail,b2,b2
aileron,c1,c1
ailing,b2,b2
ailment,b1,b1
aim,b1,b1
aimless,b2,b2
aimlessly,b2,b2
aimlessness,c1,c1
aioli,b2,b2
air,a1,a1
airbag,a2,a2
airbase,b1,b1
airboat,b2,b2
airborne,b1,b1
airbrush,b1,b1
airbrushed,b1,b1
airburst,c1,c1
aircar,c2,c2
aircraft,b2,b2
aircrew,b1,b1
airdrop,b1,b1
aired,a2,a2
airfare,a2,a2
airfield,b1,b1
airflow,b1,b1
airfoil,c1,c1
airframe,c1,c1
airhead,a2,a2
airily,b2,b2
airiness,b2,b2
airing,a2,a2
airless,b1,b1
airlift,b1,b1
airline,a2,a2
airliner,a2,a2
airlock,b1,b1
airmail,a2,a2
airman,b1,b1
airplane,a1,a1
airplay,b1,b1
airport,a1,a1
airpower,b1,b1
airshaft,c1,c1
airship,a2,a2
airsick,b1,b1
airsickness,b1,b1
airspace,b1,b1
airspeed,b1,b1
airstream,b1,b1
airstrike,b1,b1
airstrip,b1,b1
airtight,b1,b1
airtime,b1,b1
airwaves,b1,b1
airworthiness,c1,c1
airworthy,c1,c1
airy,b1,b1
aisle,a2,a2
ajar,a2,a2
akin,b1,b1
akkadian,c2,c2
alabaster,b2,b2
alacrity,c1,c1
alar,c1,c1
alarm,b2,b2
alarmed,b1,b1
alarming,b1,b1
alarmingly,b1,b1
alarmism,c1,c1
alarmist,c1,c1
alas,a2,a2
alaskan,a2,a2
albacore,b2,b2
albanian,a2,a2
albatross,b2,b2
albedo,c1,c1
albeit,b2,c1
albinism,b2,b2
albino,a2,a2
album,b1,b1
albumin,c1,c1
alcalde,c2,c2
alchemical,c1,c1
alchemist,c1,c1
alchemy,b2,b2
alcohol,a2,b1
alcoholic,a2,b1
alcoholism,b1,b1
alcove,b1,b1
aldehyde,c1,c1
alder,b2,b2
alderman,b2,b2
ale,a2,a2
aleatory,c1,c1
alehouse,c1,c1
alendronate,c2,c2
alert,b2,c1
alerted,b1,b1
alertly,b1,b1
alertness,b1,b1
alewife,c2,c2
